material_name,unit_price_lb,density_lb_in3,standard_thickness_in,,,
Aluminum 5052-H32,0.9,0.0968,"0.020, 0.025, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.190, 0.250",,,
Aluminum 6061-T6,2.25,0.0975,"0.020, 0.025, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.190, 0.250",,,
Aluminum 7075-T6,3.1,0.101,"0.020, 0.025, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.190, 0.250",,,
Cold-Rolled Steel (A1008/A1011),0.65,0.2836,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.120, 0.135, 0.187, 0.250, 0.375",,,
Hot-Rolled Steel (A36),0.65,0.2836,"0.060, 0.075, 0.105, 0.120, 0.135, 0.187, 0.250, 0.375",,,
Hot-Rolled Pickled & Oiled,0.73,0.2836,"0.060, 0.075, 0.105, 0.120, 0.135, 0.187, 0.250, 0.375",,,
Galvanized Steel (G90),0.8,0.2836,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.120, 0.135",,,
Electro-Galvanized (Paint-Lok),0.87,0.2836,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.120, 0.135",,,
304 Stainless Steel,1.35,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120, 0.135, 0.187, 0.250",,,
316 Stainless Steel,1.96,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120, 0.135, 0.187, 0.250",,,
Copper (C110),4.75,0.323,"0.021, 0.027, 0.032, 0.043, 0.054, 0.064, 0.081, 0.108, 0.125, 0.162, 0.187, 0.250",,,
Brass (C260),3.5,0.308,"0.020, 0.025, 0.032, 0.040, 0.050, 0.064, 0.080, 0.100, 0.125, 0.160, 0.187, 0.250",,,
Titanium (Grade 2),15.5,0.163,"0.020, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.187, 0.250",,,
301 Stainless Steel - Annealed,2.25,0.285,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120, 0.135, 0.187, 0.250",,,
301 Stainless Steel - Quarter Hard,2.35,0.285,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
301 Stainless Steel - Half Hard,2.35,0.285,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
301 Stainless Steel - Full Hard,2.35,0.285,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
302/304 Stainless Steel - Quarter Hard,1.95,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
302/304 Stainless Steel - Half Hard,2.05,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
302/304 Stainless Steel - Three Quarter Hard,2.15,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
302/304 Stainless Steel - Full Hard,2.25,0.289,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
17-4 PH Stainless Steel - Condition A,3.65,0.28,"0.020, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.187, 0.250",,,
15-5 PH Stainless Steel - Condition A,3.9,0.28,"0.020, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.187, 0.250",,,
13-8 PH Stainless Steel - Condition A,4.15,0.279,"0.020, 0.032, 0.040, 0.050, 0.063, 0.080, 0.100, 0.125, 0.160, 0.187, 0.250",,,
17-7 PH Stainless Steel - Condition A,3.4,0.282,"0.018, 0.024, 0.030, 0.036, 0.048, 0.060, 0.075, 0.090, 0.105, 0.120",,,
